database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	METHOD	PUBCHEM	CAS	KEGG	HMDB	FREI-01736	FREI-01737	FREI-01738	FREI-01739	FREI-01740	FREI-01741	FREI-01742	FREI-01743	FREI-01744	FREI-01745	FREI-01746	FREI-01747
CHEBI:15728	C5H11N3O2	C(=N)(N)NCCCC(O)=O	InChI=1S/C5H11N3O2/c6-5(7)8-3-1-2-4(9)10/h1-3H2,(H,9,10)(H4,6,7,8)	4-guanidinobutanoate																	Method 1	500	463-003;463-00-3	C01035	HMDB03464	2268512	1784711	2179006	2064458	1854915	1901874	3081107	3715336	4165540	3964131	5558154	6005170
				4-hydroxybutyrate (GHB)																	Method 4	10413	502-85-2	C00989	HMDB00710	286840		165802	112399	354336	234716	194903	161342	385769	400154	611781	757688
CHEBI:16974	C5H6N2O2	C=1NC=C(CC(O)=O)N1	InChI=1S/C5H6N2O2/c8-5(9)1-4-2-6-3-7-4/h2-3H,1H2,(H,6,7)(H,8,9)	4-imidazoleacetate																	Method 1	96215	645-65-8	C02835	HMDB02024	31659	27512	38078			29443	107019	132916	164238	136525	195276	201527
CHEBI:232803	C7H6O6S	S1(OC=2C(=C(O1)C=C(O)C2O)C)(=O)=O	InChI=1S/C7H6O6S/c1-3-5-2-4(8)6(9)7(3)13-14(10,11)12-5/h2,8-9H,1H3	4-methylcatechol sulfate																	Method 3					23385	24284	11866	20950			27551	31811	16423	24904	45555	47278
CHEBI:23774	C9H14N2O6	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1CCC(=O)NC1=O	InChI=1S/C9H14N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h4,6-8,12,14-15H,1-3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1	5,6-dihydrouridine																	Method 3	94312	5627-05-04 00:00:00			124277	85172	113901	189615	143065	93378	103818	194967	95777	134483	291513	206362
CHEBI:37564	C12H24N2O8	O1[C@@H]([C@@H]([C@@H]([C@H]([C@@H]1OC(CC[C@@H](C(=O)O)N)CN)O)O)O)CO	InChI=1S/C12H24N2O8/c13-3-5(1-2-6(14)11(19)20)21-12-10(18)9(17)8(16)7(4-15)22-12/h5-10,12,15-18H,1-4,13-14H2,(H,19,20)/t5?,6-,7+,8-,9-,10+,12+/m0/s1	5-(galactosylhydroxy)-L-lysine																	Method 1		32448-36-5			79477	79432	82109	99913	99621	59922	151422	141063	102583	108705	124208	104904
CHEBI:15887	C5H11NO2	NCCCCC(O)=O	InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)	5-aminovalerate																	Method 1	138	660-88-8	C00431	HMDB03355	617473	669092	858967	607503	699209	595671	979395	1230789	1325864	1031398	1818413	1788618
				5-dodecenoate (12:1n7)																	Method 3	5312378	2430-94-6		HMDB00529				686699	981985	377252	2654477	4670409	1402550	1613048	2350009	3438682
CHEBI:20607	C10H15N3O5	Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)nc1N	InChI=1S/C10H15N3O5/c1-4-2-13(10(17)12-8(4)11)9-7(16)6(15)5(3-14)18-9/h2,5-7,9,14-16H,3H2,1H3,(H2,11,12,17)/t5-,6-,7-,9-/m1/s1	5-methylcytidine																	Method 1	92918	2140-61-6		HMDB00982												
				5-methyltetrahydrofolate (5MeTHF)																	Method 3	146	68703-91-3;68792-52-9	C00440	HMDB01396											27749	
				5-methylthioadenosine (MTA)																	Method 1	439176	2457-80-9	C00170	HMDB01173	1389203	1228908	1361050	1562320	1280166	1439629	2191322	3066704	2568869	2492087	2814270	3117923
				5-methyluridine (ribothymidine)																	Method 3	445408	1463-10-1		HMDB00884	446903	395694	390186	421546	516454	240226	168968	194763	141817	253620	388038	419825
CHEBI:16010	C5H7NO3	OC(=O)C1CCC(=O)N1	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)	5-oxoproline																	Method 3	7405	98-79-3	C01879	HMDB00267	9001045	7026125	7364187	8475905	8222597	7124801	12931882	17704788	18421864	15012777	24193136	19010112
				5-phosphoribosyl diphosphate (PRPP)																	Method 3	7339	108321-05-7	C00119	HMDB00280	131696	86543	133926	118763	135728	100041		78376	91160	154550	162839	178674
CHEBI:87998	C6H9NO3	O=C(O)C1CCCC(=O)N1	InChI=1S/C6H9NO3/c8-5-3-1-2-4(7-5)6(9)10/h4H,1-3H2,(H,7,8)(H,9,10)	6-oxopiperidine-2-carboxylate																	Method 3	3014237	34622-39-4		HMDB61705	53868			50233							96754	84844
CHEBI:48928	C6H13O10P	O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O	InChI=1S/C6H13O10P/c7-2(1-16-17(13,14)15)3(8)4(9)5(10)6(11)12/h2-5,7-10H,1H2,(H,11,12)(H2,13,14,15)/t2-,3-,4+,5-/m1/s1	6-phosphogluconate																	Method 3	91493	921-62-0;53411-70-4	C00345	HMDB01316	2208843	2417832	1498723	2310621	2228987	1448511	510568	277151	271940	279133	154251	167724
				7-hydroxycholesterol (alpha or beta)																	Method 2	107722			HMDB06119	366342	366068	452615	497575	425436	396442	228285	344741	350051	335402	366858	398055
CHEBI:2274	C6H7N5O	Cn1cnc2nc(N)[nH]c(=O)c12	InChI=1S/C6H7N5O/c1-11-2-8-4-3(11)5(12)10-6(7)9-4/h2H,1H3,(H3,7,9,10,12)	7-methylguanine																	Method 1	11361	578-76-7	C02242	HMDB00897	222848	194278	199360	238227	188740	233081	205696	212118	262588	222908	272052	275731
CHEBI:15351	C23H38N7O17P3S	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12	InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/t13-,16-,17-,18+,22-/m1/s1	acetyl_CoA																	Method 3	444493	102029-73-2	C00024	HMDB01206	36476	26302	39840	39846	52771	54932	29099	32745	26478	27658	40335	23005
				acetylcarnitine (C2)																	Method 1	1	5080-50-2	C02571	HMDB00201	10929868	7149659	7481205	8240094	8745527	7492620	8458645	9342663	10244106	9234066	10926083	11482226
CHEBI:15350	C2H5O5P	CC(=O)OP(O)(O)=O	InChI=1S/C2H5O5P/c1-2(3)7-8(4,5)6/h1H3,(H2,4,5,6)	acetylphosphate																	Method 4	186	94249-01-1	C00227	HMDB01494	7198710	8169422	4114599	11856347	13053593	6618820	4392050	1142243	3154033	3657702	2826966	2777925
				aconitate [cis or trans]																	Method 3					12070094	11968693	11574291	10232043	12193278	10804264	14155892	10994272	9962569	11499379	10618119	8980525
CHEBI:16708	C5H5N5	Nc1ncnc2[nH]cnc12	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)	adenine																	Method 1	190	73-24-5	C00147	HMDB00034	2242654	2539181	2456654	2373346	2840765	3301851	6681495	8837908	9351179	8896757	11536987	11247758
CHEBI:16335	C10H13N5O4	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1	adenosine																	Method 1	60961	58-61-7	C00212	HMDB00050	7101155	7240896	8290021	6677587	8073774	8409536	5184776	5646191	7072028	6146591	7469549	8417214
				adenosine 2'-monophosphate (2'-AMP)																	Method 3	94136	130-49-4	C00946	HMDB11617	760728	964469	517854	1243243	972267	348593	214178	161018	107551	170619	237200	187497
				adenosine 3',5'-cyclic monophosphate (cAMP)																	Method 3	6076	60-92-4	C00575	HMDB00058				38118	28279	25730		35485	34042	52723	79837	39868
CHEBI:17985	C10H15N5O10P2	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O	InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7(25-27(20,21)22)4(24-10)1-23-26(17,18)19/h2-4,6-7,10,16H,1H2,(H2,11,12,13)(H2,17,18,19)(H2,20,21,22)/t4-,6-,7-,10-/m1/s1	adenosine 3',5'-diphosphate																	Method 3	159296	75431-54-8	C00054	HMDB00061												
				adenosine 3'-monophosphate (3'-AMP)																	Method 3	41211	84-21-9	C01367	HMDB03540	614011	510593	522068	991043	686085	451735	361608	313275	59479		390605	148105
				adenosine 5'-monophosphate (AMP)																	Method 3	6083	149022-20-8	C00020	HMDB00045	5941058	4443906	11385790	3605731	2980319	9571706	72074064	81663200	72879176	104443944	143052224	93269168
CHEBI:15919	C14H18N5O11P	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)n1cnc2c(NC(CC(O)=O)C(O)=O)ncnc12	InChI=1S/C14H18N5O11P/c20-7(21)1-5(14(24)25)18-11-8-12(16-3-15-11)19(4-17-8)13-10(23)9(22)6(30-13)2-29-31(26,27)28/h3-6,9-10,13,22-23H,1-2H2,(H,20,21)(H,24,25)(H,15,16,18)(H2,26,27,28)/t5?,6-,9-,10-,13-/m1/s1	adenylosuccinate																	Method 3	195	19046-78-7	C03794	HMDB00536							309057	385304	383605	745348	1304610	654134
				adrenate (22:4n6)																	Method 3	5497181	2091-25-0	C16527	HMDB02226	27376604	25353856	25626840	20895188	32171564	15179476	47713880	59396344	28737978	24466036	15075378	28626920
CHEBI:16449	C3H7NO2	CC(N)C(O)=O	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)	alanine																	Method 1	5950	56-41-7	C00041	HMDB00161	161810480	124361840	146086880	136962464	141411376	147508720	110709296	132900544	136588432	122652184	138373104	141303712
CHEBI:15676	C4H6N4O3	NC(=O)NC1NC(=O)NC1=O	InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)	allantoin																	Method 4	204	97-59-6	C02350	HMDB00462	2096809	2199621	1920026	1940669	2400781	2217271	2222141	3154340	3049201	2941917	3905372	3632154
CHEBI:60645	C5H10O3	CC(C)C(O)C(O)=O	InChI=1S/C5H10O3/c1-3(2)4(6)5(7)8/h3-4,6H,1-2H3,(H,7,8)	alpha-hydroxyisovalerate																	Method 4	99823	600-37-3		HMDB00407	197763	195669	168867	330768	301075	130087	638424	600362	757740	489043	605506	466458
CHEBI:30915	C5H6O5	OC(=O)CCC(=O)C(O)=O	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)	alpha-ketoglutarate																	Method 4	51	305-72-6;328-50-7;22202-68-2	C00026	HMDB00208	3334232	2840532	3410634	3052072	3844294	3566716	2436877	2786810	3253096	3464628	4522050	4839857
CHEBI:22470	C29H50O2			alpha-tocopherol																	Method 2	14985	59-02-9;10191-41-0	C02477	HMDB01893	2635903	2582185	2846451	2813577	2737553	2651329	7170350	5534459	5039401	7256618	8518184	8529658
CHEBI:17151	C5H12O5	OC[C@H](O)[C@@H](O)[C@H](O)CO	InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5+	arabitol/xylitol																	Method 4	6912		C01904		449768	346862	412600	397886	484781	437194	341346	407555	371963	351210	427439	487588
CHEBI:48093	C5H10O6	OC[C@@H](O)[C@H](O)[C@@H](O)C(O)=O	InChI=1S/C5H10O6/c6-1-2(7)3(8)4(9)5(10)11/h2-4,6-9H,1H2,(H,10,11)/t2-,3+,4-/m1/s1	arabonate/xylonate																	Method 4					385832	555034	451365	406412	449226	497450	206009	478464	529122	457691	933138	678389
				arachidate (20:0)																	Method 3	10467	506-30-9	C06425	HMDB02212	8099647	14708915	8550326	7415218	18086034	3546712	32961358	42965348	18661874	21841484	13480513	12987141
				arachidonate (20:4n6)																	Method 3	444899	506-32-1	C00219	HMDB01043	135005248	132518824	58442708	92659288	308268192	38727180	563484224	716465600	221960768	227635248	123779496	128969168
CHEBI:2700	C22H37NO2	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO	InChI=1S/C22H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22(25)23-20-21-24/h6-7,9-10,12-13,15-16,24H,2-5,8,11,14,17-21H2,1H3,(H,23,25)/b7-6-,10-9-,13-12-,16-15-	arachidonoyl ethanolamide																	Method 2	5281969	94421-68-8	C11695	HMDB04080	71189	96771	82288	68013	101893	104851	96445	105913	107866	100082	122941	101192
CHEBI:29016	C6H14N4O2	NC(CCCNC(N)=N)C(O)=O	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	arginine																	Method 1	232	1119-34-2	C00062	HMDB00517	264301936	234692496	269897344	240422608	264821408	242417008	273890016	315278816	314458592	304590496	344725152	332432672
CHEBI:15682	C10H18N4O6	N[C@@H](CCCNC(=N)NC(CC(O)=O)C(O)=O)C(O)=O	InChI=1S/C10H18N4O6/c11-5(8(17)18)2-1-3-13-10(12)14-6(9(19)20)4-7(15)16/h5-6H,1-4,11H2,(H,15,16)(H,17,18)(H,19,20)(H3,12,13,14)/t5-,6?/m0/s1	argininosuccinate																	Method 1	828	156637-58-0	C03406	HMDB00052	428636	431648	423732	419781	408090	406775	666731	709391	901252	799411	1123256	1217127
CHEBI:22653	C4H8N2O3	NC(CC(N)=O)C(O)=O	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)	asparagine																	Method 1	6267	70-47-3	C00152	HMDB00168	157125760	143908512	149051632	139769456	162354320	161701216	168241232	176845792	196744272	157894496	170383936	222155056
CHEBI:22660	C4H7NO4	NC(CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)	aspartate																	Method 1	5960	56-84-8	C00049	HMDB00191	86019984	98964824	109525488	92467920	112630520	124409464	95765104	108879784	114190800	114849408	132774984	167467328
				azelate (C9-DC)																	Method 4	2266	123-99-9	C08261	HMDB00784	800145	876126	760149	1063670	1108367	1176405	555576	816997	477396	892747	738073	514181
				behenoyl dihydrosphingomyelin (d18:0/22:0)*																	Method 2				HMDB12091	2553639	3892377	3884478	2572343	3118526	4956944	3383201	3748222	4737240	4450085	4969689	7230421
CHEBI:74532	C45H91N2O6P	C(CCCCCCCCCC)CC\C=C\[C@@H](O)[C@@H](NC(=O)CCCCCCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C	InChI=1S/C45H91N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-27-29-31-33-35-37-39-45(49)46-43(42-53-54(50,51)52-41-40-47(3,4)5)44(48)38-36-34-32-30-28-26-19-17-15-13-11-9-7-2/h36,38,43-44,48H,6-35,37,39-42H2,1-5H3,(H-,46,49,50,51)/b38-36+/t43-,44+/m0/s1	behenoyl sphingomyelin (d18:1/22:0)*																	Method 2				HMDB12103	59306820	60434980	59113024	63805128	56673288	65171816	52324900	74760976	58176960	67365336	93564248	81780672
				behenoylcarnitine (C22)*																	Method 2																
CHEBI:16958	C3H7NO2	NCCC(O)=O	InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)	beta-alanine																	Method 1	239	56-41-7;107-95-9	C00099	HMDB00056	14794215	12046928	13328330	12090159	12245769	14706164	12499226	16217427	20408328	16918808	23150342	26335930
CHEBI:77065	C11H15NO10	OC(=O)CC[C@H](NC(=O)C(O)(CC(O)=O)CC(O)=O)C(O)=O	InChI=1S/C11H15NO10/c13-6(14)2-1-5(9(19)20)12-10(21)11(22,3-7(15)16)4-8(17)18/h5,22H,1-4H2,(H,12,21)(H,13,14)(H,15,16)(H,17,18)(H,19,20)/t5-/m0/s1	beta-citrylglutamate																	Method 3	72715786	73590-26-8	C20775		2094167	1562315	2025757	2554229	2400182	1603625	1770778	1493741	1507321	3480402	4638610	3450811
				beta-guanidinopropanoate																	Method 1	67701	353-09-3	C03065	HMDB13222	1941522	1790642	2030082	2088838	1851620	2059834	2073642	2990368	3221353	3074250	5074217	4059773
CHEBI:37084	C5H10O3	CC(C)(O)CC(O)=O	InChI=1S/C5H10O3/c1-5(2,8)3-4(6)7/h8H,3H2,1-2H3,(H,6,7)	beta-hydroxyisovalerate																	Method 4	69362	625-08-1		HMDB00754	1748247	1704891	1347179	2234305	1913096	1814385	2027620	2252022	1989138	2103212	3088035	2652416
CHEBI:17750	C5H11NO2	C[N+](C)(C)CC([O-])=O	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3	betaine																	Method 1	247	107-43-7	C00719	HMDB00043	14800663	10045797	12651598	10888141	13237076	14581421	15665185	19531652	22635904	20650064	29886424	31764702
CHEBI:16990	C33H36N4O6	CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1	InChI=1S/C33H36N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-14,34-35H,1-2,9-12,15H2,3-6H3,(H,36,43)(H,37,42)(H,38,39)(H,40,41)/b26-13-,27-14-	bilirubin (Z,Z)																	Method 2	5280352	635-65-4	C00486	HMDB00054	94958	87741	98330	55146	71070	123115	179940	217586	270380	239642	398858	381144
CHEBI:15956	C10H16N2O3S	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2	InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1	biotin																	Method 1	171548	58-85-5	C00120	HMDB00030	138388	96235	108692	113352	81962	97971	102717	115773	140149	96704	107954	147886
CHEBI:165856	C17H22N2O7	O1C(C(O)C(O)C(O)C1CO)C=2NC=3C(C2C[C@H](N)C(O)=O)=CC=CC3	InChI=1S/C17H22N2O7/c18-9(17(24)25)5-8-7-3-1-2-4-10(7)19-12(8)16-15(23)14(22)13(21)11(6-20)26-16/h1-4,9,11,13-16,19-23H,5-6,18H2,(H,24,25)/t9-,11?,13?,14?,15?,16?/m0/s1	C-glycosyltryptophan																	Method 1	10981970	180509-18-6														
				caprate (10:0)																	Method 3	2969	112-37-8	C01571	HMDB00511		1936054		640640		4240466	2507453	7219680	9144826	2944192	3354646	4129935
				caprylate (8:0)																	Method 3	379	124-07-2	C06423	HMDB00482						261672	2442328		1162633	4935888	2120868	
CHEBI:138529	C7H13NO4	C(CCCNCCC(=O)O)(=O)O	InChI=1S/C7H13NO4/c9-6(10)2-1-4-8-5-3-7(11)12/h8H,1-5H2,(H,9,10)(H,11,12)	carboxyethyl-GABA																	Method 1	2572	4386-03-02 00:00:00		HMDB02201	30992	28426	65406	55259	51019				46785	27175	68198	39826
CHEBI:17126	C7H15NO3	C[N+](C)(C)CC(O)CC([O-])=O	InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3	carnitine																	Method 1	10917	461-05-2	C00318	HMDB00062	14014384	14765156	17423260	12778274	14617196	17539668	16362628	21080066	27281682	23661792	30522080	34260824
CHEBI:15727	C9H14N4O3	NCCC(=O)N[C@@H](CC1=CNC=N1)C(O)=O	InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1	carnosine																	Method 1	439224	305-84-0	C00386	HMDB00033	79714	84209	112183	82564	111480	110201	162941	139070	186672	170246	275098	260465
				ceramide (d16:1/24:1, d18:1/22:1)*																	Method 2					4908125	5535500	5348213	5218582	5205837	6576757	5475344	6089643	6288811	6213158	7440646	8562599
				ceramide (d18:1/14:0, d16:1/16:0)*																	Method 2					2579950	2470812	2775323	2418195	2941995	2584530	4265549	4677487	4885256	5079788	4707142	5624099
				ceramide (d18:1/17:0, d17:1/18:0)*																	Method 2					1066249	1337091	1364965	1115078	1293498	1869799	2189116	2484030	2469976	2752996	2606283	3472992
				ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*																	Method 2					1761369	2071108	2143231	1852379	2065725	2472410	3626567	4627102	4539870	4434646	4929343	6985671
CHEBI:16113	C27H46O	C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC=C2C[C@H](C1)O)[H])(CC[C@@]4([C@H](C)CCCC(C)C)[H])[H])C)[H])C	InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1	cholesterol																	Method 2	11025495	57-88-5	C00187	HMDB00067	171662016	191037712	173509712	180053168	180306368	160365184	154594784	186940432	168725200	207383360	205359536	211538928
CHEBI:15354	C5H14NO+	C[N+](C)(C)CCO	InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1	choline																	Method 1	305	67-48-1	C00114	HMDB00097	140429344	124416848	127245784	116780528	147764176	148966368	127256208	186310512	245762176	186166848	256090352	293909632
CHEBI:18132	C5H15NO4P+	C[N+](C)(C)CCOP(O)(O)=O	InChI=1S/C5H14NO4P/c1-6(2,3)4-5-10-11(7,8)9/h4-5H2,1-3H3,(H-,7,8,9)/p+1	choline phosphate																	Method 1	1014	72556-74-2	C00588	HMDB01565	221542928	166404800	226614208	161036288	196021280	256785248	92170328	143561504	208970752	169020368	195904672	287947648
CHEBI:30769	C6H8O7	OC(=O)CC(O)(CC(O)=O)C(O)=O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	citrate																	Method 3	311	77-92-9	C00158	HMDB00094	92783600	84729824	86069384	69351528	84258912	80661560	120255720	98095840	100426960	108830760	109884096	98973568
CHEBI:18211	C6H13N3O3	NC(CCCNC(N)=O)C(O)=O	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)	citrulline																	Method 1	9750	372-75-8	C00327	HMDB00904	37062716	30886924	34343568	22947068	36764068	41177836	26761308	27278384	33741328	31374044	36053584	38266312
CHEBI:15346	C21H36N7O16P3S	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS	InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/t11-,14-,15-,16+,20-/m1/s1	coenzyme A																	Method 3	317	85-61-0;18439-24-2	C00010	HMDB01423	283575	235017	427457	216421	310727	587290	814935	980563	1052701	1240741	2095769	1219761
CHEBI:16919	C4H9N3O2	CN(CC(O)=O)C(N)=N	InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)	creatine																	Method 1	586	57-00-1	C00300	HMDB00064	604594048	536521888	572559360	516646720	592542784	598599488	633874944	790102656	936289088	882296960	1074324096	1096796032
CHEBI:17287	C4H10N3O5P	CN(CC(O)=O)C(=N)NP(O)(O)=O	InChI=1S/C4H10N3O5P/c1-7(2-3(8)9)4(5)6-13(10,11)12/h2H2,1H3,(H,8,9)(H4,5,6,10,11,12)	creatine phosphate																	Method 4	587	922-32-7	C02305	HMDB01511	1129734	1615887	618196	1682516	1542640	375251	245785	286235	264130	271205	259089	212924
CHEBI:16737	C4H7N3O	CN1CC(=O)NC1=N	InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)	creatinine																	Method 1	588	60-27-5	C00791	HMDB00562	6617707	5818908	6352047	6805803	6108069	6607178	5825906	10611881	8968209	8514944	11367928	11785498
CHEBI:17755	C7H14N2O4S	NC(CCSCC(N)C(O)=O)C(O)=O	InChI=1S/C7H14N2O4S/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)	cystathionine																	Method 1	439258	535-34-2	C02291	HMDB00099	4495500	2881060	4147020	3467857	3164195	3827948	3399071	4057867	4658906	5647571	6092025	7182525
CHEBI:15356	C3H7NO2S	NC(CS)C(O)=O	InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)	cysteine																	Method 1	5862	52-90-4;56-89-3	C00097	HMDB00574	22989386	19983152	20992060	21659432	23201188	22984768	28321732	26799258	35305760	33605220	43121668	39286684
				cysteine sulfinic acid																	Method 3	109	207121-48-0	C00606	HMDB00996	1467022	957026	1008812	1391672	1086771	1178331	1880798	2024226	2004344	1983593	2875162	2200849
CHEBI:143243	C13H22N4O8S2	S(SCC(N)C(O)=O)C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O	InChI=1S/C13H22N4O8S2/c14-6(12(22)23)1-2-9(18)17-8(11(21)16-3-10(19)20)5-27-26-4-7(15)13(24)25/h6-8H,1-5,14-15H2,(H,16,21)(H,17,18)(H,19,20)(H,22,23)(H,24,25)/t6-,7?,8-/m0/s1	cysteine-glutathione disulfide																	Method 1	4247235	13081-14-6		HMDB00656	305414	268783	220286	294778	291765	215383	437393	492584	544984	448280	493878	464636
CHEBI:4047	C5H10N2O3S	N[C@@H](CS)C(=O)NCC(O)=O	InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1	cysteinylglycine																	Method 1	439498	19246-18-5	C01419	HMDB00078	1326618	1034855	1491731	1129974	1160266	1598621	1455741	1560668	2143312	2225927	2851398	3041980
CHEBI:17376	C6H12N2O4S2	NC(CSSCC(N)C(O)=O)C(O)=O	InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)	cystine																	Method 1	67678	56-89-3	C00491	HMDB00192												
